"ensemble_id","steepness","steepness_prior_quantile","tag_mixing_k_cutoff","tag_mixing_source_file","tag_reporting_flag2","tag_reporting","tag_tau","tau_fish_pars4","m_age40_quarterly","lorenzen_log_intercept","m_prior_quantile","effort_creep_primary","effort_creep_secondary","effort_source_file","initialization","pairing_version","zero_mixing_events","tag_reporting_zero_mixing_exclusions","model_label"
"ensemble-001",0.916195781737906,0.745,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.14,1.42069578783722,0.0883028515366027,-2.42698287816089,0.705,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E001 | h=0.916 | tau=5.14 | K=0.10 | RR=include | M0=0.0883/qtr | creep=0.5/0.25%"
"ensemble-029",0.871404880987095,0.455,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.2,1.43508452528932,0.0860258459041131,-2.4531074941111,0.665,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E029 | h=0.871 | tau=5.20 | K=0.10 | RR=include | M0=0.0860/qtr | creep=2.0/1.00%"
"ensemble-030",0.88720842919169,0.555,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.120155781738336,-2.11896619695589,0.975,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E030 | h=0.887 | tau=5.14 | K=0.20 | RR=exclude | M0=0.1202/qtr | creep=1.0/0.50%"
"ensemble-031",0.790834090920188,0.115,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0814891119639018,-2.50728586319495,0.575,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E031 | h=0.791 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0815/qtr | creep=1.5/0.75%"
"ensemble-032",0.955582324101094,0.945,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.2,1.43508452528932,0.0824405378469274,-2.49567799887966,0.595,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E032 | h=0.956 | tau=5.20 | K=0.10 | RR=include | M0=0.0824/qtr | creep=1.5/0.75%"
"ensemble-033",0.980467458423588,0.995,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",5.2,1.43508452528932,0.0943588956153553,-2.36064972846033,0.795,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E033 | h=0.980 | tau=5.20 | K=0.20 | RR=include | M0=0.0944/qtr | creep=2.5/1.25%"
"ensemble-034",0.902357695484583,0.655,0.35,"bet.2026.mix-0.35.ini",0,"inclusion",5.14,1.42069578783722,0.07878322006368,-2.54105524814827,0.515,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",18,18,"E034 | h=0.902 | tau=5.14 | K=0.35 | RR=include | M0=0.0788/qtr | creep=2.0/1.00%"
"ensemble-035",0.940898885193137,0.885,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",5.14,1.42069578783722,0.0801107614463212,-2.52434508379066,0.545,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E035 | h=0.941 | tau=5.14 | K=0.20 | RR=include | M0=0.0801/qtr | creep=1.0/0.50%"
"ensemble-036",0.926002224185036,0.805,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",4.96,1.37624402526639,0.0746328291058555,-2.59517480013104,0.415,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E036 | h=0.926 | tau=4.96 | K=0.20 | RR=exclude | M0=0.0746/qtr | creep=0.5/0.25%"
"ensemble-037",0.943029225334482,0.895,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",5.2,1.43508452528932,0.0664634974306444,-2.7111023928444,0.205,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E037 | h=0.943 | tau=5.20 | K=0.25 | RR=include | M0=0.0665/qtr | creep=2.5/1.25%"
"ensemble-038",0.852065874766007,0.345,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",5.2,1.43508452528932,0.0750330554653177,-2.5898265230054,0.425,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E038 | h=0.852 | tau=5.20 | K=0.25 | RR=exclude | M0=0.0750/qtr | creep=2.5/1.25%"
"ensemble-039",0.913060344746047,0.725,0.25,"bet.2026.mix-0.25.ini",1,"exclusion",4.96,1.37624402526639,0.0707338687749501,-2.64883077163638,0.315,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,0,"E039 | h=0.913 | tau=4.96 | K=0.25 | RR=exclude | M0=0.0707/qtr | creep=1.5/0.75%"
"ensemble-040",0.924313504785243,0.795,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.14,1.42069578783722,0.062165477323398,-2.7779554602765,0.105,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E040 | h=0.924 | tau=5.14 | K=0.15 | RR=include | M0=0.0622/qtr | creep=2.5/1.25%"
"ensemble-041",0.770846464986023,0.075,0.1,"bet.2026.mix-0.1.ini",1,"exclusion",5.2,1.43508452528932,0.0616760560118878,-2.78585949451001,0.095,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E041 | h=0.771 | tau=5.20 | K=0.10 | RR=exclude | M0=0.0617/qtr | creep=1.0/0.50%"
"ensemble-042",0.668842859607944,0.005,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",4.96,1.37624402526639,0.0600688525879382,-2.81226383155207,0.065,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E042 | h=0.669 | tau=4.96 | K=0.15 | RR=include | M0=0.0601/qtr | creep=2.5/1.25%"
"ensemble-043",0.869753079504006,0.445,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",5.2,1.43508452528932,0.0672550092674224,-2.69926377602631,0.225,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E043 | h=0.870 | tau=5.20 | K=0.20 | RR=include | M0=0.0673/qtr | creep=2.5/1.25%"
"ensemble-044",0.882576408745769,0.525,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.2,1.43508452528932,0.0901544630105169,-2.4062308240633,0.735,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E044 | h=0.883 | tau=5.20 | K=0.10 | RR=include | M0=0.0902/qtr | creep=1.0/0.50%"
"ensemble-045",0.815170286195679,0.185,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.14,1.42069578783722,0.0626384444701712,-2.7703760604596,0.115,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E045 | h=0.815 | tau=5.14 | K=0.10 | RR=include | M0=0.0626/qtr | creep=0.5/0.25%"
"ensemble-046",0.850145674340893,0.335,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",5.2,1.43508452528932,0.116862143339407,-2.14676030093721,0.965,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E046 | h=0.850 | tau=5.20 | K=0.20 | RR=include | M0=0.1169/qtr | creep=1.5/0.75%"
"ensemble-047",0.809073624120682,0.165,0.1,"bet.2026.mix-0.1.ini",1,"exclusion",5.2,1.43508452528932,0.0715037092355716,-2.63800595320718,0.335,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E047 | h=0.809 | tau=5.20 | K=0.10 | RR=exclude | M0=0.0715/qtr | creep=2.5/1.25%"
"ensemble-048",0.846196883620319,0.315,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.0684242425392203,-2.68202809405864,0.255,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E048 | h=0.846 | tau=4.96 | K=0.25 | RR=include | M0=0.0684/qtr | creep=2.0/1.00%"
"ensemble-049",0.893297570756611,0.595,0.3,"bet.2026.mix-0.3.ini",0,"inclusion",5.14,1.42069578783722,0.0839239521820033,-2.47784422136522,0.625,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,14,"E049 | h=0.893 | tau=5.14 | K=0.30 | RR=include | M0=0.0839/qtr | creep=1.0/0.50%"
"ensemble-050",0.859436361940827,0.385,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",4.96,1.37624402526639,0.0796630006277552,-2.52995003400239,0.535,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E050 | h=0.859 | tau=4.96 | K=0.20 | RR=exclude | M0=0.0797/qtr | creep=2.0/1.00%"
"ensemble-051",0.927719077431941,0.815,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0606330983467594,-2.80291435766816,0.075,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E051 | h=0.928 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0606/qtr | creep=1.5/0.75%"
"ensemble-052",0.855809211216181,0.365,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.0762508468931672,-2.57372675676066,0.455,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E052 | h=0.856 | tau=4.96 | K=0.25 | RR=include | M0=0.0763/qtr | creep=2.0/1.00%"
"ensemble-053",0.894810070821111,0.605,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",5.2,1.43508452528932,0.066062719171951,-2.71715069771176,0.195,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E053 | h=0.895 | tau=5.20 | K=0.15 | RR=exclude | M0=0.0661/qtr | creep=2.0/1.00%"
"ensemble-054",0.881015343303337,0.515,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",5.14,1.42069578783722,0.0758418522718568,-2.57910499791778,0.445,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E054 | h=0.881 | tau=5.14 | K=0.15 | RR=exclude | M0=0.0758/qtr | creep=2.0/1.00%"
"ensemble-055",0.757229334067595,0.055,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",5.14,1.42069578783722,0.0688107758960207,-2.67639491991182,0.265,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E055 | h=0.757 | tau=5.14 | K=0.15 | RR=exclude | M0=0.0688/qtr | creep=1.5/0.75%"
"ensemble-056",0.884128353828229,0.535,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.101683863103972,-2.28588666006132,0.875,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E056 | h=0.884 | tau=5.14 | K=0.20 | RR=exclude | M0=0.1017/qtr | creep=0.5/0.25%"
"ensemble-057",0.848190160242251,0.325,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.105366251201955,-2.25031289147389,0.905,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E057 | h=0.848 | tau=5.14 | K=0.20 | RR=exclude | M0=0.1054/qtr | creep=2.5/1.25%"
"ensemble-058",0.748759775715778,0.045,0.3,"bet.2026.mix-0.3.ini",0,"inclusion",4.96,1.37624402526639,0.0742351056432048,-2.60051811881959,0.405,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,14,"E058 | h=0.749 | tau=4.96 | K=0.30 | RR=include | M0=0.0742/qtr | creep=1.5/0.75%"
